=== GC_1m_1789910262328.csv (5004 5m bars (aggregated), tickSize=0.1, stopRule=ZONE_SIZE_MULTIPLE(1.5), RR=1.0) ===
structure: 95 valid pullbacks, 66 TJL pairs formed, 26 flips
trades: 234 (65W / 163L / 6 flat)
totalR=-98.00 avgR=-0.42 maxDrawdownR=100.00

  2026-09-01T11:25:00Z LONG  entry=4429.20 stop=4426.60 target=4431.80 exit=4431.80 (target) R=1.00
  2026-09-01T11:55:00Z LONG  entry=4422.90 stop=4420.30 target=4425.50 exit=4420.30 (stop) R=-1.00
  2026-09-01T12:05:00Z LONG  entry=4419.20 stop=4417.80 target=4420.60 exit=4417.80 (stop) R=-1.00
  2026-09-01T12:15:00Z LONG  entry=4419.50 stop=4418.10 target=4420.90 exit=4418.10 (stop) R=-1.00
  2026-09-01T12:25:00Z LONG  entry=4417.10 stop=4415.70 target=4418.50 exit=4415.70 (stop) R=-1.00
  2026-09-01T12:40:00Z SHORT entry=4413.20 stop=4414.10 target=4412.30 exit=4414.10 (stop) R=-1.00
  2026-09-01T12:50:00Z SHORT entry=4411.80 stop=4412.70 target=4410.90 exit=4410.90 (target) R=1.00
  2026-09-01T13:50:00Z SHORT entry=4405.90 stop=4406.80 target=4405.00 exit=4406.80 (stop) R=-1.00
  2026-09-01T14:00:00Z SHORT entry=4402.10 stop=4403.00 target=4401.20 exit=4403.00 (stop) R=-1.00
  2026-09-01T14:10:00Z SHORT entry=4419.00 stop=4419.90 target=4418.10 exit=4419.90 (stop) R=-1.00
  2026-09-01T14:35:00Z SHORT entry=4414.40 stop=4415.30 target=4413.50 exit=4415.30 (stop) R=-1.00
  2026-09-01T14:45:00Z SHORT entry=4410.10 stop=4411.00 target=4409.20 exit=4411.00 (stop) R=-1.00
  2026-09-01T15:20:00Z SHORT entry=4410.40 stop=4411.30 target=4409.50 exit=4411.30 (stop) R=-1.00
  2026-09-01T15:30:00Z SHORT entry=4411.50 stop=4412.40 target=4410.60 exit=4412.40 (stop) R=-1.00
  2026-09-01T15:40:00Z SHORT entry=4419.10 stop=4420.00 target=4418.20 exit=4420.00 (stop) R=-1.00
  2026-09-01T16:10:00Z SHORT entry=4410.70 stop=4411.60 target=4409.80 exit=4411.60 (stop) R=-1.00
  2026-09-02T05:15:00Z SHORT entry=4357.20 stop=4360.50 target=4353.90 exit=4353.90 (target) R=1.00
  2026-09-02T05:25:00Z SHORT entry=4359.70 stop=4363.00 target=4356.40 exit=4363.00 (stop) R=-1.00
  2026-09-02T06:50:00Z LONG  entry=4362.40 stop=4359.10 target=4365.70 exit=4365.70 (target) R=1.00
